function	name	size	repeat	duration
READ	test.rq	10	1	0.054908037185668945
READ	test.rq	10	2	0.05785012245178223
READ	test.rq	10	3	0.05485987663269043
READ	test.rq	30	1	0.055966854095458984
READ	test.rq	30	2	0.053977012634277344
READ	test.rq	30	3	0.053663015365600586
READ	test.rq	100	1	0.05413508415222168
READ	test.rq	100	2	0.05365920066833496
READ	test.rq	100	3	0.05414319038391113
READ	conlon	10	1	0.005187034606933594
READ	conlon	10	2	0.005628824234008789
READ	conlon	10	3	0.0052568912506103516
READ	conlon	30	1	0.005753993988037109
READ	conlon	30	2	0.006081581115722656
READ	conlon	30	3	0.005761146545410156
READ	conlon	100	1	0.005546092987060547
READ	conlon	100	2	0.0054509639739990234
READ	conlon	100	3	0.005425930023193359
WRITE	write	1	1	0.0027430057525634766
WRITE	write	1	2	0.002847433090209961
WRITE	write	1	3	0.0028688907623291016
WRITE	write	1	4	0.0027320384979248047
WRITE	write	1	5	0.002695798873901367
WRITE	write	1	6	0.0029799938201904297
WRITE	write	1	7	0.0027871131896972656
WRITE	write	1	8	0.0027179718017578125
WRITE	write	1	9	0.0027840137481689453
WRITE	write	1	10	0.002663850784301758
WRITE	write	10	1	0.0026140213012695312
WRITE	write	10	2	0.002644062042236328
WRITE	write	10	3	0.0026061534881591797
WRITE	write	10	4	0.0026068687438964844
WRITE	write	10	5	0.0027740001678466797
WRITE	write	10	6	0.0027589797973632812
WRITE	write	10	7	0.002798795700073242
WRITE	write	10	8	0.0026009082794189453
WRITE	write	10	9	0.002641916275024414
WRITE	write	10	10	0.002599954605102539
WRITE	write	100	1	0.0027489662170410156
WRITE	write	100	2	0.0027208328247070312
WRITE	write	100	3	0.0026061534881591797
WRITE	write	100	4	0.0027191638946533203
WRITE	write	100	5	0.002646923065185547
WRITE	write	100	6	0.002710103988647461
WRITE	write	100	7	0.002652883529663086
WRITE	write	100	8	0.002866029739379883
WRITE	write	100	9	0.002641916275024414
WRITE	write	100	10	0.0027818679809570312
LOAD	load	10	1	0.0024819374084472656
LOAD	load	10	2	0.0024297237396240234
LOAD	load	10	3	0.0025479793548583984
LOAD	load	10	4	0.002591848373413086
LOAD	load	10	5	0.0024940967559814453
LOAD	load	30	1	0.0024290084838867188
LOAD	load	30	2	0.0024671554565429688
LOAD	load	30	3	0.0024247169494628906
LOAD	load	30	4	0.0025148391723632812
LOAD	load	30	5	0.002479076385498047
LOAD	load	100	1	0.002675771713256836
LOAD	load	100	2	0.002402067184448242
LOAD	load	100	3	0.002363920211791992
LOAD	load	100	4	0.002414226531982422
LOAD	load	100	5	0.002969026565551758
